# Pathway	R1-1	R1-2	R1-3	R1-4	R1-5	R2-1	R2-2	R2-3	R2-4	R2-5	R3-1	R3-2	R3-3	R3-4	R3-5	R4-1	R4-2	R4-3	R4-4	R4-5	R5-1	R5-2	R5-3	R5-4	R5-5	R6-1	R6-2	R6-3	R6-4	R6-5	S1-1	S1-2	S1-3	S1-4	S1-5	S2-1	S2-2	S2-3	S2-4	S2-5	S3-1	S3-2	S3-3	S3-4	S3-5	S4-1	S4-2	S4-3	S4-4	S4-5	S5-1	S5-2	S5-3	S5-4	S5-5	S6-1	S6-2	S6-3	S6-4	S6-5
UNINTEGRATED|g__Arthrobacter.s__Arthrobacter_sp_FB24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10495.7463544505	0	0	11967.0075585115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Arthrobacter.s__Arthrobacter_sp_RC1_1_241	12929.2607305600	4807.5247069594	1411.9192897334	9238.7910299176	0	30919.2056341533	10279.6554554157	62064.4784858797	15152.3058809782	23836.9837618620	0	0	0	0	0	0	0	0	0	0	0	3412.1532618204	0	0	0	4870.6465880367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Arthrobacter.s__Arthrobacter_sp_Soil761	10085.6558608958	5644.4753511216	1631.7019744310	7313.7513636671	1003.2192947108	7769.5733311659	4964.1908675741	26249.3244202001	6305.9701065822	5078.9904336096	7019.5983432691	10692.9813248627	10623.2744106380	10286.5407241262	5764.5146967970	14938.7890009924	13291.8813611864	9218.0123312679	13064.6106821276	22423.3812266197	3959.8745454283	6165.5482897381	6700.7485170177	8404.0761169440	6845.9414343172	5861.7650225248	7368.5161592363	2634.0450286819	5186.6806894359	6816.5910686229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_sp_AFS006103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3372.4775313208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bosea.s__Bosea_robiniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4561.1393708166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13147.9061531753	11257.9032669380	9773.4180913420	11361.8947098289	15609.5406794126	13409.7577600054	0	0	0	0	0	0	0	0	0	0	0	0	7166.5206279198	0	0	0	0	0	0	0	0	0	0	0	0	5962.2244301679	5335.0621920215	0	6449.0468807620	10561.4115153106	0	0	4826.6050229710	0	0	0	0	0	0
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	36115.3927121595	30134.8859257598	18969.9580956292	26987.3843184943	30523.7974687316	22155.4045455473	10628.8126164122	37163.6940056333	5985.0068819313	12982.1052608106	8811.2303067062	11927.7579513455	14448.8062957124	15652.0640526447	10008.2634347857	18054.0017220259	14342.3328265564	12418.9666523298	14972.6687004563	16751.4358583344	23627.2819734154	31348.0288705366	47727.7456101877	47252.3750773665	23638.0758327016	22207.9619001210	23086.1687239192	24745.0309228900	22435.0732857178	20966.9585122905	11458.8097258184	7455.7344811595	9520.6517556813	7476.8549016934	6497.0603908485	3371.7755633746	6521.9939386951	6441.8662437364	4862.1131226268	5154.1803451633	3573.9503305904	6169.4098150542	9069.5227909953	4236.8095721478	4088.3836258769	8041.3278282778	5909.5752249829	4348.2613220597	26457.5776721488	8978.5768355193	14723.6731610749	13677.7239016397	12907.4387168921	8557.1492790203	14063.7176107677	8984.0988272316	13007.1544444106	7990.0039461227	8228.6351875095	7620.6961553525
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_ottawaense	40017.6667324006	37663.2586448118	25847.7618084595	32434.2171244154	40193.4850936061	29920.3890553748	13815.7195057895	50181.1422259575	10910.7205757349	25456.4407992929	22038.2852734702	28856.1010861435	25510.0564542071	36698.7894679984	26466.6801781311	34279.1441259072	30698.3769251984	23588.8138389103	29325.0742178844	37147.7454800612	44622.7176544118	41553.1325226612	48749.5191097939	67062.1215729823	41646.0442270865	41295.1602938006	32214.2394060280	36521.8318811196	35432.3485780628	40833.8168371367	13229.6463823056	12901.8638749993	10648.3080509264	16059.8343751371	8465.2195538054	8752.8542579222	10354.7394005442	11098.8462042244	7138.0209800758	7449.1084092311	7875.9559784638	16751.6102556295	18641.7518968993	12101.6391471982	16076.7015024937	11639.6374118914	14023.6859276292	12721.0596273825	23725.4395929507	12176.1092166422	17912.3728263196	22073.0834070375	17120.2880842550	17215.6145716156	14406.6878305558	17221.4205021467	25483.5168082517	18216.7126620895	18356.5269177476	20302.1421018283
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_shewense	11617.8403397228	11329.2849342530	8266.9168812645	8842.9431320880	10829.2605392160	10327.4691216093	5579.7230197014	18313.5407928546	3520.6870699489	6672.7540716472	4503.3483801980	6004.9255313390	6172.1240185691	8311.1116127108	4567.8764282327	7120.8932936682	6187.4854413739	4531.0149246823	4785.1157861266	6345.4681748952	12686.8642708719	11847.7995036295	14723.0460775608	16274.2870255520	7929.5977336411	10477.5013035506	9733.1483479320	9115.7581861827	8634.2801881903	8986.0350558982	5004.4817614510	3389.9100311109	3796.7019077324	4139.2767265135	2404.6070383321	2062.2792026678	2417.2156652792	3720.4826416921	2074.0132129048	2154.7108761875	1423.5956908096	2468.5548730494	3466.6201989386	2198.4818558360	2453.3306653350	2208.3172557432	2628.4342204477	2351.6393219631	7877.3031179164	3217.7271655822	5333.8823813438	4713.5694316504	3050.3251297417	3038.8202060420	4445.0771860263	2841.1064577866	6526.1678907973	5663.0552253795	3651.0833293610	3479.1083563453
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321	0	0	0	0	0	0	0	13488.5485574130	0	0	0	0	5953.4454445213	0	0	0	0	0	0	0	10788.4775385090	11343.0375922687	11466.6829614767	17255.6127788793	7290.8316931419	11020.2303770318	11347.5338296992	12596.1212680831	12094.8911402772	11857.3014281251	0	0	0	3633.9650998475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6432.2580151350	4340.9172303368	3370.4808414483	0	0	6149.3273634894	4621.2333898494	3541.7140802833	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_anthina	0	0	0	0	0	0	0	73361.6079344269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_cenocepacia	163415.5893717287	57740.5821459148	59663.7288585560	30668.1964262705	77731.7941747776	95081.0400596371	53187.1604019755	310941.7409555286	21321.7125826140	544306.1315015787	2633.1782281722	47284.0613008224	18497.8806714599	10263.2680526587	4564.6021948315	11751.9524294318	2719.3893684476	0	0	9793.9796709035	529206.1295166252	78232.7275241623	30938.2441101828	67940.8331496670	14575.5403626706	26633.6128810841	6683.7237684658	108328.3753313364	24160.7341859699	3535.9576043263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1483.8203959455	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_cepacia	16531.2332931174	6954.9468565889	7043.9634115902	3255.5009495919	12406.5092298318	22259.3854807991	13633.4979083357	57695.2223045822	7487.1259467557	105945.2522767584	7955.5546604268	6544.2507863994	13927.8466209172	4057.0722906977	2928.3600103202	2028.3037182214	144.4278509358	0	0	3925.9598021295	51250.1590324729	11354.9429276684	3594.7678031598	7450.5236315353	2730.3366090816	25044.3864224387	1521.8972693705	9827.8148096192	5982.0167170873	1088.8335721591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342.7346771299	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_gladioli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1554.2409076868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_glumae	0	0	0	0	0	311.1869606274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_lata	0	0	0	0	0	0	2423.2239206294	15384.2370025580	0	0	951.4899539080	1843.4001761665	2049.8183254861	954.5065892928	410.4774754830	0	0	0	0	581.8989633888	0	0	1692.7337384998	0	0	4138.4284146767	0	0	0	231.6381843581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_plantarii	0	0	0	0	0	232.0067758241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_reimsis	0	0	0	0	0	0	4967.7958391522	18461.8118393845	0	0	2525.7567263646	2416.8122642202	3194.7243901697	1767.7518772722	511.5360916146	0	0	0	0	978.3390748904	0	0	1577.0567484639	0	0	7217.1841626359	0	0	0	213.0828549422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_sp_WP9	0	0	0	0	0	0	0	0	0	4850.8899447960	0	0	0	0	0	0	0	0	0	0	5533.3329056834	0	0	3683.3569516109	0	7921.3117552088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Caballeronia.s__Caballeronia_grimmiae	195.9703350949	0	0	0	0	0	0	721.7095091485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Caballeronia.s__Caballeronia_turbans	3569.1740834199	0	0	527.0826887188	915.8012520489	0	0	6059.3070121010	0	1846.3509060993	0	0	0	0	0	0	0	0	0	0	6872.2255745184	3271.4630602086	4699.9313411658	4499.7398852789	0	1208.7226997784	417.5873839894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chryseobacterium.s__Chryseobacterium_culicis	0	0	0	0	0	0	24687.9225287308	0	0	11132.5296218557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chryseobacterium.s__Chryseobacterium_sp_StRB126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9778.0488737511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chryseobacterium.s__Chryseobacterium_zeae	0	0	0	0	0	0	286.9864461789	14264.1847333631	0	101.4884981101	0	0	0	0	0	0	0	0	0	0	0	0	0	4307.8118610879	5622.0958063818	0	0	0	0	3460.5307221971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Delftia.s__Delftia_acidovorans	1678.5087942013	0	0	0	1162.3524571962	0	0	0	995.6331738623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264.9988241901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Delftia.s__Delftia_lacustris	211.0127589070	0	0	0	0	0	0	127.6069524781	591.5976464796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.7164067708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Delftia.s__Delftia_tsuruhatensis	31.0170395435	0	0	60.4786418147	0	0	0	297.3271572269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_asburiae	0	0	9063.0625639289	0	3198.6884958385	4768.4682418789	11010.3847561582	33045.2823232623	2647.8730135712	17059.9755763063	0	0	26738.8236812235	9497.8656494275	0	8088.1031661462	0	6558.7454160172	0	0	65603.4424994781	9297.2344366188	13669.7696098113	14270.3528229315	0	15217.7604691638	0	0	1776.8788925398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_bugandensis	3614.9184923140	0	1404.6935731060	0	1433.4837831068	1095.1041024140	1356.6848191132	3172.8981181632	636.5064778826	2148.1246371388	0	0	2226.8909987216	889.3520159507	0	762.7381452849	0	477.5793200361	0	0	3462.3475743822	608.4424809023	1072.5360702454	1385.6700188556	542.7079910600	2018.2453464182	0	1560.3140770051	992.8853045205	190.0640673436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cancerogenus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3481.4392647883	783.0865072467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	4526.4695477443	0	4058.5087637585	0	17765.0729923233	4037.4740120814	0	15806.0826203886	1730.6801566567	5138.1507533560	0	2197.2399368239	0	0	0	4709.1501095026	0	4262.5856512341	3062.5598740261	0	8467.4371320255	26501.7143472110	14711.6220652464	3673.6727584541	15339.9290485710	3019.9869334315	0	15279.2751656171	4151.5940275065	2722.7164551578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_ludwigii	5060.5555275690	0	0	0	0	0	0	8453.2451058388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_mori	0	1280.3663079835	6700.2609309348	0	0	0	0	22881.0871714612	859.8805515637	14505.5879312441	0	0	0	0	0	0	0	0	6559.6460913607	0	11252.6789786379	0	0	0	8129.6581746628	2434.4144429103	0	0	0	8237.2046582623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterobacter.s__Enterobacter_roggenkampii	0	0	1698.9138800603	0	1424.6171709881	0	0	1166.6419928666	0	0	0	0	0	0	0	0	0	0	0	0	1532.2682443656	0	0	503.3581220819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	3781.3941880544	0	0	0	0	0	0	9305.2547835198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Ewingella.s__Ewingella_americana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19027.7279606945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Flavisolibacter.s__Flavisolibacter_ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6737.3903746294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006.4400268478	0
UNINTEGRATED|g__Flavobacterium.s__Flavobacterium_johnsoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6977.7509140459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Herbaspirillum.s__Herbaspirillum_aquaticum	3165.8167136158	0	0	0	0	4529.0085390027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22623.0382202901	0	2146.8177457502	16702.4782015338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Herbaspirillum.s__Herbaspirillum_frisingense	2693.6626022182	0	951.5563539422	0	0	0	3342.3135186342	0	0	0	0	0	0	0	0	0	0	0	0	0	8185.0179647007	5141.8544733077	1175.7365588027	914.9955870710	0	2085.1061520056	0	616.8510307730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Herbaspirillum.s__Herbaspirillum_hiltneri	733.5369882951	0	300.8542509842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3837.1242729501	928.0665117060	0	1117.1138524932	0	0	0	532.4743916537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Herbaspirillum.s__Herbaspirillum_seropedicae	680.3089237244	15576.2431145955	28337.5594180112	0	0	13946.5504813908	5870.7032355626	5917.3311892580	15250.1005494398	6721.0684324278	0	0	0	0	0	0	0	0	0	0	1948.1920891383	1422.3315073273	0	2147.4190966806	0	355.4816052784	0	422.8904828244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_aerogenes	1782.4412659223	0	740.1250849347	0	223.7308085424	402.3815803355	0	1206.0285764969	0	255.2194897166	0	0	0	0	0	0	0	0	0	0	1751.7199579285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_grimontii	0	0	0	0	1545.0110062788	1130.2498580505	1056.9086191577	2055.0786252332	389.5892387314	0	0	0	0	0	0	0	0	649.3998267256	0	1507.6747653315	31887.0674262801	1565.1763344812	0	0	0	1026.8516386011	7412.7509333264	1101.7803426536	1954.1677132196	1673.8301750253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_michiganensis	0	0	1709.0029025230	0	1255.8588829482	1061.5868603788	359.7069824072	0	141.7428716604	1095.3529960240	0	0	0	0	0	0	0	201.4630816466	0	3302.0984146483	24665.2210901531	592.5274698429	933.7277260299	0	0	3932.6432504507	0	1249.7350854384	310.5847726146	1761.5517672811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	1333.9082600290	0	2435.3912713359	0	5647.9450372751	5605.3316794435	0	0	0	9418.1356074785	0	0	0	0	0	0	0	0	0	4662.9644052989	12883.5098194367	2648.1664839313	0	0	734.4678808204	13428.4476029901	615.5520656601	0	418.0418678796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	23927.3174156005	0	2416.2451745359	0	5288.7992514092	3391.8408852258	0	13449.3029969447	1281.6438971193	1657.8947060849	0	0	0	1414.9515314235	0	0	0	0	0	0	15085.8194935802	2146.1843968935	2161.2937374590	3830.8065080738	17269.7475096162	7430.5120317075	8861.4396561912	0	1934.2428716148	1681.7444202389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_variicola	72860.6153206110	0	0	0	0	0	0	0	0	7460.4456186716	0	0	0	0	0	0	0	0	0	0	0	1468.8391869411	0	0	37345.7041106416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
