# Pathway	R1-1	R1-2	R1-3	R1-4	R1-5	R2-1	R2-2	R2-3	R2-4	R2-5	R3-1	R3-2	R3-3	R3-4	R3-5	R4-1	R4-2	R4-3	R4-4	R4-5	R5-1	R5-2	R5-3	R5-4	R5-5	R6-1	R6-2	R6-3	R6-4	R6-5	S1-1	S1-2	S1-3	S1-4	S1-5	S2-1	S2-2	S2-3	S2-4	S2-5	S3-1	S3-2	S3-3	S3-4	S3-5	S4-1	S4-2	S4-3	S4-4	S4-5	S5-1	S5-2	S5-3	S5-4	S5-5	S6-1	S6-2	S6-3	S6-4	S6-5
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_pittii	214.5337005680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_soli	0	0	0	0	0	0	0	6.6699819031	0	0	0	0	33.1281096547	0	2.4639715744	0	0	0	0	0	0	0	0	0	0	0	0	2.9508234194	0	0	0	0	0	0	0	16.2829887489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Agrobacterium.s__Agrobacterium_fabrum	1.0428431938	0	0	0	0	5.5873401015	0	0	0	0	0	0.2512293136	1.5733502115	0.8003458255	0.6970495601	1.9320564984	0.4774644119	0	0	0.4565876362	0	0	0	29.7781128840	3.1209252938	11.7936353712	0	0	8.9555940918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Agrobacterium.s__Agrobacterium_rhizogenes	31.2504615421	19.3977548383	7.7855953802	10.3462052424	0	17.0559830208	0	135.4097797263	7.7542526232	10.0144845849	12.4017708203	37.9754874276	17.5884826935	11.6393919039	10.5390620591	26.4555078393	24.6064793720	8.8796439833	0	14.8657755851	17.7729597718	16.5483504296	15.2924756384	98.4836824726	24.1476485950	227.8943351667	8.9575246179	20.9417551622	141.2389581704	89.2179629421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Agrobacterium.s__Agrobacterium_tumefaciens	65.9850261180	0	46.4082125968	67.2287759048	0	104.1709641401	0	359.0183499603	80.7805694673	64.6366614952	201.3640114200	34.9067964714	17.5234630129	18.2676481807	23.6777371353	46.4932335477	29.6415821679	55.3398754586	0	29.2987156080	42.6421133808	76.8727797592	97.7357448264	500.5454112969	68.7582501243	412.6265032261	32.8149287092	60.4266820592	251.0042708183	102.8937751341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Arthrobacter.s__Arthrobacter_sp_FB24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	814.7773482894	0	0	1146.7652917191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Arthrobacter.s__Arthrobacter_sp_RC1_1_241	1464.6460979026	429.7712263343	170.6505112567	1111.1864600862	0	3542.1809925546	1246.5463756332	7290.2874338656	1795.9185013324	2551.6281190740	0	0	0	0	0	0	0	0	0	0	0	420.7774913249	0	0	0	413.5182358966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Arthrobacter.s__Arthrobacter_sp_Soil761	995.6006256394	496.4631261476	106.6632411394	863.7192277178	137.3223917020	1086.6658886022	554.1449329061	3363.6683127799	765.4691143375	909.8782559822	512.6513698963	1073.0761272480	801.4118608887	650.9285853788	617.8944509085	1304.1074109804	1456.0260549907	525.3314873785	1216.1936407077	2045.1314328392	175.7921090785	618.7421600110	478.6152251970	1036.7710454877	420.4812934043	625.0082803685	484.7683492117	238.8419311825	500.0035940451	340.9472407172	0	0	0	0	0	0	0	0	0	0	26.8631108883	11.2569767201	19.1313740031	0	9.4414870777	0	0	20.7530015914	0	21.4330543465	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Asticcacaulis.s__Asticcacaulis_taihuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4676099587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Aureimonas.s__Aureimonas_ureilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9860553342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_aryabhattai	0	0	4.5484553976	0	0	4.2715316007	26.6750452238	22.2888740471	65.1941409221	0	0	3.2583214128	21.4417636522	42.3684740210	0	16.5410749096	21.8769884425	68.3378099223	17.7660873587	38.3222900183	5.8208517891	0	0	0	0	0.6522355319	0	0	14.6462118584	16.4817582598	4.1516926939	0	0	0	1.7815135114	19.7438201620	0	12.7946404288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_flexus	0	0	0	0	0	0.0000000000	0	0	0	0	0	0	0	0	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacillus.s__Bacillus_megaterium	94.1309766115	0	113.3328409617	0	113.1394502273	125.0076307681	104.7522848724	234.0721041173	188.9674477113	105.2139080802	136.7108184004	87.0184153634	207.8412367851	270.0928535598	463.0228091124	294.2695969428	181.5304068887	110.4451647192	276.5414957082	414.1320290727	58.9139660428	54.0118336745	94.2980493909	64.9815591714	159.9618388615	54.2090902448	157.3670536132	169.1774700250	183.2806573840	368.3843357286	115.7548073667	108.3250945571	109.1007854297	184.3080375327	241.4989879806	140.5378926856	127.2910949479	103.8295014786	104.4108078236	112.0173233563	0	182.7852373942	188.4950339952	111.4628000257	175.3501982124	93.3673669860	0	0	0	0	114.9477992749	0	0	0	144.5278375505	128.5816023529	0	0	170.5143405250	0
UNINTEGRATED|g__Bacillus.s__Bacillus_sp_AFS006103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259.0241195146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bosea.s__Bosea_robiniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.7678352604	0	384.3828479638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1958.0656193010	1479.4268337251	1344.1422756976	1551.6305493069	1765.4399689222	2048.4256436969	0	0	0	0	0	0	0	0	0	0	0	0	825.7633995059	0	0	0	0	0	0	0	0	0	0	0	0	746.4073834656	793.9228852309	0	860.6608105198	1078.3337525712	0	0	774.6983849975	0	0	0	0	0	0
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	4358.8776217548	3892.5739152429	2175.8468133385	2912.9913050872	3788.7454043447	2436.0813390956	978.8712659713	4328.0271042183	700.5558974527	1453.3606403916	1069.8309017456	1471.9384719129	1757.8017950088	1998.1436432387	1123.1705124404	2301.4367881188	2028.1981640654	1576.5707705803	2115.0827351440	2356.1413059025	2923.9953494116	3887.3165333970	6154.2522294078	5727.2585580059	2763.1320719788	2685.7029586435	2694.3689693371	2645.6793191337	2753.4339526879	2321.4434672449	1091.4756479650	836.8700338508	924.5947654015	829.0026670106	863.9080360308	417.7466547248	526.3264668394	626.2586729166	472.5587052876	455.0936385504	479.3433055831	648.0408186534	886.1805510004	478.1245331324	814.8418564854	1051.0049736849	779.3577853801	906.3037104352	3014.1475743818	733.0636946972	1558.1559314271	1639.6820983258	1680.7497847995	1002.8692140921	1501.9479358943	1049.8982738843	1346.1707037670	807.5645560246	775.2007917872	938.8114913864
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_ottawaense	4711.6622764947	4604.5477842444	2746.3934029455	3816.6540287818	4547.3851503238	3561.0103398422	1468.4331116791	6043.5789789605	1049.7593347576	2481.1524442689	2608.6818820552	3448.5098542202	3549.8718798357	4097.4603189707	3085.5012980132	4064.8024032772	3343.1264242633	2995.8899851374	3051.0296140244	4645.2882624713	5283.2043637924	4974.8028784701	6189.7260747567	8212.1830115199	4978.1777424529	4798.4464683855	3838.9090122311	4467.8941643288	4771.8136249807	5275.7217619854	1208.4745618041	1575.7530170132	948.8059973084	1719.3367303709	1017.5067184903	816.3259010263	848.3005481303	976.0363134947	1041.6105295940	738.1980408578	1198.7717048576	1337.6839316857	1829.7672360912	952.4257900941	1950.2243603693	1191.8447855874	1446.7817946722	1332.9267454400	2721.2864966797	1168.3377992923	2538.2143502426	2472.3378232007	1706.4818191803	1897.5650313712	1590.0762498113	2154.0247060202	3468.1418216965	1911.3181845785	2216.2303686025	1840.5029552050
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_shewense	1515.9566738601	1242.9132395764	867.1226479060	930.5515459966	1165.6509903526	1115.9614221326	514.8243057755	1850.4887576445	390.8485335397	834.3580241973	509.7370190910	576.3941004962	632.2020271519	748.2751460191	561.3145785348	760.4800740312	678.0581133100	563.2510615978	572.0761210171	785.5859834455	1479.4059767251	1444.7141593286	1472.5979039676	1996.5656456780	920.9845565287	1189.0077626548	1127.4923899923	1128.0878614518	1053.0067113226	1017.8665717394	390.2614609282	331.9192724441	300.3998384705	382.9004644381	281.6315483076	215.7481103471	245.8259198851	338.7258328182	224.8174775885	199.0148475075	213.8134871434	267.9940236248	342.2124147152	161.6381943681	289.9487572786	251.8079851725	323.1736111520	339.9897382709	795.6063353321	268.9013310375	524.1529806627	536.1384860096	424.9495941498	395.3681780339	428.3452849652	448.6050219142	681.9844928948	416.5067698759	371.6208650480	420.9283311983
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321	0	0	0	0	0	0	0	1761.1629094073	0	0	0	0	676.0018701682	0	0	0	0	0	0	0	1284.4887410061	1368.5346141634	1585.6245719137	1912.6133258280	980.8170494017	1469.2125488488	1562.1253979554	1529.7230330847	1522.9166752655	1173.8589795645	0	0	0	412.7579238903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678.1358968747	626.6734661786	483.1905651146	0	0	816.4273221566	565.4891461227	481.5489087142	0
UNINTEGRATED|g__Brevundimonas.s__Brevundimonas_nasdae	0	0	0	0	0	15.4176775103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.7923212264	24.6618959534	0	0	67.6165605552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Brevundimonas.s__Brevundimonas_vesicularis	0	0	0	0	0	21.6258641278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.5489212489	54.5395400658	0	0	111.0602089256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_anthina	0	0	0	0	0	0	0	8509.0177802850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_cenocepacia	18685.5659129782	6810.4689461291	7638.7126406621	3503.1512493559	8635.4487607664	11708.0670547512	6147.6448671598	38962.7018876785	2623.0886053774	61308.4639631555	440.1927478001	5893.2726202192	2388.4879364354	1493.7063370331	721.5477223493	1435.1525263482	348.8884880577	0	0	710.3500855743	60936.6031524403	9011.5763230742	3732.0129378101	7807.4544960789	1260.5895632394	3432.3208915663	465.8190120375	12330.0452156189	2566.8211004789	477.2096312299	0	0	308.3098520883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216.2117489873	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_cepacia	2845.1267373813	964.4506010005	1221.1941020758	603.3690289144	1871.3323377788	3632.0077697158	1679.2646269851	8830.1790551245	905.1023675856	14785.7692236419	1079.9842999508	1069.3934090977	1901.3540953641	433.2935395797	367.8910036608	183.9465233087	37.5133048539	94.8295667378	0	227.2881832837	9337.4200752742	1545.9634612095	720.1836781466	1247.7861673443	195.0244704994	3423.0313874537	113.1022791246	2003.3860931966	907.6721202978	124.1494612412	0	0	11.5947493476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.2135053175	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_gladioli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.1373608507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_glumae	0	0	0	0	0	33.0635317436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_lata	0	0	0	0	0	0	341.8259302303	2125.8301418945	0	0	71.1798714872	243.6847404384	161.6209749768	70.0956975234	52.1016719463	0	0	10.9871312643	0	33.7063508805	0	0	203.5016629338	0	0	636.5841669011	0	0	0	22.8602250608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_plantarii	0	0	0	0	0	38.2340998483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_reimsis	0	0	0	0	0	0	441.6324573949	2118.6797153626	0	0	255.6527666758	311.8265619241	447.4137736751	127.3201596787	84.0851900588	0	0	34.0442678262	0	51.9653890363	0	0	152.8980045268	0	0	919.1055523900	0	0	0	36.6902959313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Burkholderia.s__Burkholderia_sp_WP9	0	0	0	0	0	0	0	0	0	508.6822412781	0	0	0	0	0	0	0	0	0	0	822.0273395587	0	0	530.1779805315	0	1017.0358888649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Caballeronia.s__Caballeronia_grimmiae	46.2910257120	0	0	0	0	28.8441285213	0	54.0551033052	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2047348141	0	31.7343652654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Caballeronia.s__Caballeronia_turbans	227.2622305709	58.0638295510	190.5932130095	46.5775749761	85.0945683937	68.6569359923	39.2225214242	362.9014027678	32.3740024282	160.2146134607	16.3696166548	64.2146576862	106.3197253844	191.1487002073	54.3285939244	152.2025782568	115.3264811223	30.3714860167	107.3619922421	61.7788484169	379.3698203835	209.1257085336	193.6308349778	430.6682771895	149.2830726684	178.6001915342	33.7435701025	73.8938866272	125.0916621885	51.1646076061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.0017550913	0	0	0
UNINTEGRATED|g__Chitinophaga.s__Chitinophaga_arvensicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6066968406	0	0	0	2.2078555166	0	5.3699859226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chitinophaga.s__Chitinophaga_ginsengisegetis	0	1.9226165372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chitinophaga.s__Chitinophaga_ginsengisoli	10.1511096815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.5593802549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chryseobacterium.s__Chryseobacterium_culicis	0	0	0	0	0	0	3624.0913516354	0	0	708.4836123504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chryseobacterium.s__Chryseobacterium_formosense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.7752274642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chryseobacterium.s__Chryseobacterium_sp_StRB126	174.9742842692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	898.1990105490	0	29.6473198079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chryseobacterium.s__Chryseobacterium_zeae	11.7465159340	4.2467751334	31.4430369557	0	27.5234192688	0	38.9695804435	1878.2764455990	28.7043698473	26.6639762526	0	0	0	0	0	0	0	0	0	0	0	0	4.5860172057	628.2642854867	989.9089496497	37.3206477514	2.5512201444	4.5976772346	16.9302654913	151.3633244392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Collimonas.s__Collimonas_arenae	0	2.5977674101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Collimonas.s__Collimonas_sp_OK412	0	60.7987067991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Comamonas.s__Comamonas_terrigena	6.9351650945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8272599386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Corynebacterium.s__Corynebacterium_xerosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.9300656858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Curtobacterium.s__Curtobacterium_sp_ER1_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.6788156885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Cystobacter.s__Cystobacter_fuscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.5804390003	0	0	137.7499739166	0	0	0	0	0	0	0	0	0	0	111.6438947975	0	0	0	0	0	0	54.2765876865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.0788255119	0
UNINTEGRATED|g__Delftia.s__Delftia_acidovorans	86.2596754210	0	0	22.3271824198	33.1099449303	13.0613815103	19.8015147514	40.0163318203	324.0299262407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115.4183774689	0	0	10.0965436414	199.8213290657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Delftia.s__Delftia_lacustris	6.0646804547	0	0	2.2704693982	8.8986283861	2.7995130817	2.6842695668	6.6993993183	61.6244007663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.0997032705	0	0	4.5537069228	19.5444851919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Delftia.s__Delftia_tsuruhatensis	7.9408555737	0	0	2.9909208447	4.1519556409	4.5998534909	6.7001428018	9.9743172340	69.0422281792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.7902164973	0	0	4.6637370574	28.6700393697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
